,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
76,15261,Muntenia,CV,541601,Intorsura Buzaului,0,45.6683,26.0568,707,582475.7821,463688.7133,0.5,1
26,15107,TransilvaniaS,HR,655522,Toplita,0,46.9264,25.3599,687,527550.6928,603017.8206,0.5,1
101,15324,Muntenia,AG,517507,Campulung Muscel,0,45.2748,25.0366,680.7,503018.2179,419416.4073,0.03,1
51,15170,TransilvaniaS,HR,622544,Miercurea Ciuc,0,46.3713,25.7726,661,559578.36,541556.9034,0.5,1
88,15296,Oltenia,HD,525323,Petrosani,0,45.4063,23.3767,607,373091.9432,435324.1424,0.5,1
47,15162,TransilvaniaS,AB,622303,Campeni,0,46.3638,23.0404,591,349393.781,542298.0282,0.5,1
40,15138,Banat-Crisana,BH,639210,Dumbravita de Codru,0,46.6446,22.1712,586,283659.6253,575518.5148,0.75,1
99,15319,Oltenia,VL,525358,Voineasa,1,45.4112,23.967,573,419300.1587,435099.5795,0.03,1
65,15217,TransilvaniaS,CV,600608,Tg. Seciuesc,0,45.9929,26.1151,568,586511.8428,499821.6105,0.05,1
25,15099,TransilvaniaN,CJ,651305,Huedin,0,46.8573,23.0325,560,350158.365,597149.704,0.5,1
115,15345,Muntenia,AG,500432,Moraresti,0,45.0163,24.5701,548,466268.2725,390788.0718,0.75,1
90,15300,TransilvaniaS,BV,542532,Brasov,0,45.6958,25.5262,534,541119.8716,466342.4792,0.5,1
114,15344,Oltenia,GJ,511349,Polovragi,0,45.1654,23.8086,531,406496.2021,407967.2244,0.5,1
49,15165,TransilvaniaS,MS,622414,Tarnaveni,0,46.3601,24.226,523,440594.9296,540309.0676,0.1,1
50,15168,TransilvaniaS,HR,618518,Odorheiul Secuiesc,1,46.2968,25.2917,523,522620.6133,533024.1751,0.1,1
70,15238,TransilvaniaS,CV,552548,Sf. Gheorghe Munte,0,45.8715,25.8021,523,562409.4207,486045.5519,0.3,1
81,15277,TransilvaniaS,SB,538416,Boita,1,45.653,24.2715,518,443380.6119,461700.744,0.75,1
